page_type,route,brand_slug,model_slug,variant_slug,display_name,main_image,small_image
model,/mercedes-benz/viano,mercedes-benz,viano,,Mercedes Benz Viano,/images/brands/mercedes-benz/models/mercedes-benz-viano-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-viano-small.webp
model,/mercedes-benz/vito,mercedes-benz,vito,,Mercedes Benz Vito,/images/brands/mercedes-benz/models/mercedes-benz-vito-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-vito-small.webp
model,/bmw/1-series,bmw,1-series,,BMW 1 Series,/images/brands/bmw/models/bmw-1-series-main.webp,/images/brands/bmw/models/bmw-1-series-small.webp
model,/bmw/2-series,bmw,2-series,,BMW 2 Series,/images/brands/bmw/models/bmw-2-series-main.webp,/images/brands/bmw/models/bmw-2-series-small.webp
model,/bmw/3-series,bmw,3-series,,BMW 3 Series,/images/brands/bmw/models/bmw-3-series-main.webp,/images/brands/bmw/models/bmw-3-series-small.webp
model,/bmw/4-series,bmw,4-series,,BMW 4 Series,/images/brands/bmw/models/bmw-4-series-main.webp,/images/brands/bmw/models/bmw-4-series-small.webp
model,/bmw/5-series,bmw,5-series,,BMW 5 Series,/images/brands/bmw/models/bmw-5-series-main.webp,/images/brands/bmw/models/bmw-5-series-small.webp
model,/bmw/6-series,bmw,6-series,,BMW 6 Series,/images/brands/bmw/models/bmw-6-series-main.webp,/images/brands/bmw/models/bmw-6-series-small.webp
model,/bmw/7-series,bmw,7-series,,BMW 7 Series,/images/brands/bmw/models/bmw-7-series-main.webp,/images/brands/bmw/models/bmw-7-series-small.webp
model,/bmw/8-series,bmw,8-series,,BMW 8 Series,/images/brands/bmw/models/bmw-8-series-main.webp,/images/brands/bmw/models/bmw-8-series-small.webp
model,,,,,,/images/brands//models/--main.webp,/images/brands//models/--small.webp
model,,,,,,/images/brands//models/--main.webp,/images/brands//models/--small.webp
variant,/bmw/1-series/114d-engine,bmw,1-series,114d-engine,BMW 114d,/images/brands/bmw/models/bmw-1-series-main.webp,/images/brands/bmw/models/bmw-1-series-small.webp
